Pc;Pm;N;T;mean;median;minimum;maximum;std_dev
0.6;0.01;50;200;13371679.2;13311485.0;13177504;13648545;194803.221
0.6;0.01;100;200;13537184.6;13518006.0;13445291;13667228;86055.698
0.6;0.01;200;200;13591248.8;13598872.0;13531515;13667228;53044.829
0.6;0.05;50;200;13585209.2;13608750.0;13483986;13648691;68691.123
0.6;0.05;100;200;13586695.0;13596904.0;13551649;13629991;32480.567
0.6;0.05;200;200;13605860.2;13595823.0;13580332;13653419;29236.943
0.6;0.1;50;200;13494286.4;13487544.0;13465614;13515808;21429.669
0.6;0.1;100;200;13570141.2;13576033.0;13488902;13683217;75201.907
0.6;0.1;200;200;13562032.4;13559484.0;13500071;13617089;51107.994
0.8;0.01;50;200;13534538.0;13505316.0;13469811;13669393;78356.675
0.8;0.01;100;200;13528046.2;13483396.0;13476699;13603593;65117.371
0.8;0.01;200;200;13640696.6;13656377.0;13541326;13692887;58471.299
0.8;0.05;50;200;13571164.6;13578332.0;13528811;13591425;24410.524
0.8;0.05;100;200;13600532.4;13588269.0;13557613;13668008;41573.61
0.8;0.05;200;200;13603447.6;13598872.0;13556659;13636710;31138.762
0.8;0.1;50;200;13513011.2;13492624.0;13450570;13599221;67085.156
0.8;0.1;100;200;13558206.0;13548864.0;13522941;13621849;38316.166
0.8;0.1;200;200;13583219.4;13585169.0;13531601;13616719;31976.293
1.0;0.01;50;200;13467165.8;13505850.0;13323041;13570820;101390.543
1.0;0.01;100;200;13560092.8;13513271.0;13495052;13643500;73432.115
1.0;0.01;200;200;13656558.8;13648691.0;13621849;13683937;26991.329
1.0;0.05;50;200;13543336.2;13540097.0;13508796;13591952;30589.978
1.0;0.05;100;200;13598085.0;13594678.0;13533539;13669393;49147.07
1.0;0.05;200;200;13623124.6;13615361.0;13581235;13683937;37538.894
1.0;0.1;50;200;13527143.6;13528974.0;13491407;13583206;36942.143
1.0;0.1;100;200;13527604.0;13523907.0;13467769;13583362;47953.651
1.0;0.1;200;200;13548422.8;13543410.0;13521965;13589851;26736.492
