Pc;Pm;N;T;mean;median;minimum;maximum;std_dev
0.6;0.01;50;1000;13509307.2;13507962.0;13464424;13576350;42366.585
0.6;0.01;100;1000;13550173.8;13543284.0;13481924;13648691;70016.576
0.6;0.01;200;1000;13610145.8;13605211.0;13583789;13663158;32309.225
0.6;0.05;50;1000;13647049.2;13654201.0;13612011;13683937;31529.424
0.6;0.05;100;1000;13638546.8;13653419.0;13605593;13663158;26571.424
0.6;0.05;200;1000;13633578.0;13630823.0;13601001;13667228;25503.312
0.6;0.1;50;1000;13584478.0;13569316.0;13531066;13663158;48998.425
0.6;0.1;100;1000;13593729.6;13570820.0;13546275;13683937;53575.51
0.6;0.1;200;1000;13606870.0;13599009.0;13585954;13643500;21816.428
0.8;0.01;50;1000;13537151.2;13492375.0;13459692;13663158;89442.822
0.8;0.01;100;1000;13549543.8;13505850.0;13483641;13667228;81702.132
0.8;0.01;200;1000;13611895.6;13605593.0;13598872;13648691;20857.846
0.8;0.05;50;1000;13610167.2;13602341.0;13588153;13667228;32642.86
0.8;0.05;100;1000;13644201.2;13626608.0;13604574;13699065;38234.026
0.8;0.05;200;1000;13658966.8;13667228.0;13615361;13699065;39445.601
0.8;0.1;50;1000;13583303.0;13586093.0;13547057;13606581;22360.848
0.8;0.1;100;1000;13577140.4;13584914.0;13542702;13599577;22826.956
0.8;0.1;200;1000;13598078.8;13580390.0;13560082;13644380;40500.964
1.0;0.01;50;1000;13533057.8;13606479.0;13311847;13699065;158598.198
1.0;0.01;100;1000;13608518.0;13609710.0;13570945;13643500;27602.639
1.0;0.01;200;1000;13649373.2;13663158.0;13570255;13699065;48153.921
1.0;0.05;50;1000;13595617.0;13602341.0;13575143;13604517;12184.078
1.0;0.05;100;1000;13625119.8;13607342.0;13590270;13683937;38757.804
1.0;0.05;200;1000;13639537.6;13614543.0;13606479;13683937;40306.124
1.0;0.1;50;1000;13576965.0;13577251.0;13552739;13592051;15400.785
1.0;0.1;100;1000;13590540.6;13585169.0;13556827;13618193;23772.478
1.0;0.1;200;1000;13595518.0;13597991.0;13576350;13606941;11390.809
