N, inercja, poznawcza, spoleczna, T, mean, std, min, max
(70, 0.9, 1.5, 1.0, 400), 8.459e-11, 1.676e-10, 4.829e-15, 4.198e-10
(70, 0.9, 1.5, 1.0, 800), 2.298e-17, 4.051e-17, 5.957e-20, 1.037e-16
(200, 0.3, 0.5, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 0.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 0.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.0, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.0, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.0, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.5, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.3, 1.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 0.5, 1.0, 100), 1.243e-24, 1.208e-24, 7.408e-26, 3.320e-24
(200, 0.6, 0.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 0.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 1.0, 1.0, 100), 1.847e-24, 2.286e-24, 4.206e-25, 6.407e-24
(200, 0.6, 1.0, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 1.0, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 1.5, 1.0, 100), 7.788e-23, 8.867e-23, 9.392e-25, 2.234e-22
(200, 0.6, 1.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.6, 1.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(200, 0.9, 0.5, 1.0, 100), 1.679e-07, 1.411e-07, 5.642e-08, 4.389e-07
(200, 0.9, 0.5, 1.0, 400), 2.800e-18, 1.963e-18, 6.659e-19, 5.527e-18
(200, 0.9, 0.5, 1.0, 800), 2.051e-30, 4.102e-30, 0.000e+00, 1.026e-29
(200, 0.9, 1.0, 1.0, 100), 7.570e-08, 1.025e-07, 9.846e-09, 2.790e-07
(200, 0.9, 1.0, 1.0, 400), 1.783e-16, 1.528e-16, 3.275e-17, 4.326e-16
(200, 0.9, 1.0, 1.0, 800), 5.291e-26, 9.849e-26, 2.524e-29, 2.498e-25
(200, 0.9, 1.5, 1.0, 100), 1.665e-07, 1.664e-07, 2.318e-08, 4.906e-07
(200, 0.9, 1.5, 1.0, 400), 5.448e-14, 4.198e-14, 2.118e-18, 9.649e-14
(200, 0.9, 1.5, 1.0, 800), 1.316e-20, 1.453e-20, 2.346e-22, 3.709e-20
